age_bin,prop,trial
1.5,0.693361509320091,37
1.5,0.6765733883687026,38
1.5,0.7104833528805057,39
1.5,0.7118612727085482,40
1.5,0.6329085146127067,53
1.5,0.7164870028147309,54
1.5,0.6835361241837865,55
1.5,0.6704821526487036,56
1.5,0.5388229954440166,45
1.5,0.6321131772347971,46
1.5,0.6497673544560005,47
1.5,0.6591102690698813,48
1.5,0.6454518591485613,61
1.5,0.7387318507237779,62
1.5,0.6977689223711449,63
1.5,0.8074002184993364,64
1.5,0.6907824953808204,65
1.5,0.682364338652708,66
1.5,0.7323318522148775,67
1.5,0.6616063306738034,68
1.5,0.5856326384472916,41
1.5,0.6394892490278072,42
1.5,0.5933462958835511,43
1.5,0.641654562164116,44
1.5,0.6564915711620504,49
1.5,0.6560765785612778,50
1.5,0.6130622784297156,51
1.5,0.6319087508041703,52
1.5,0.6191753267911515,57
1.5,0.6091423932040892,58
1.5,0.6407753375253266,59
1.5,0.6609734252385381,60
2,0.5520538375516638,69
2,0.6465337865361824,70
2,0.7099365185874301,71
2,0.6406828103625257,72
2,0.5773205064746981,73
2,0.5989928563500215,74
2,0.5929320953209966,75
2,0.5567799743060402,76
2.5,0.7494090244127518,1
2.5,0.6815564816382208,2
2.5,0.7884086240058595,3
2.5,0.8078960888227145,4
2.5,0.91681921938176,5
2.5,0.8835306313948144,6
2.5,0.857911482396656,7
2.5,0.8482052381560853,8
2.5,0.7371913615675502,9
2.5,0.7124775808439751,10
2.5,0.7926140131025751,11
2.5,0.7454654532452278,12
2.5,0.7517516670081721,13
2.5,0.8278258546704996,14
2.5,0.7861320710782358,15
2.5,0.8085726929552374,16
2.5,0.7715635409983783,17
2.5,0.618370662950602,18
2.5,0.8338305393449924,19
2.5,0.7123232376872508,20
2.5,0.8531446052323067,21
2.5,0.8279011453768084,22
2.5,0.6520872057872388,23
2.5,0.7057793815076698,24
2.5,0.6024980129210971,25
2.5,0.6319112945394917,26
2.5,0.804835720902357,27
2.5,0.746198104143242,28
2.5,0.7724821116349961,29
2.5,0.7227826064647538,30
2.5,0.7257577860734665,31
2.5,0.79880869831989,32
2.5,0.8295124669604023,33
2.5,0.7836752891972859,34
2.5,0.8253663512626753,35
2.5,0.9021698294778175,36
